receipt_id,receipt_line_id,po_id,po_line_id,receipt_datetime,center_id,wms_sku_code,received_qty,accepted_qty,rejected_qty,receipt_status
GR000458,001,PO000386,001,2025-01-14 10:00:00,FC_INCHEON,WMS-L00011,41,40,1,PARTIAL
GR000526,001,PO000445,001,2025-01-14 10:00:00,FC_DONGTAN,WMS-L00013,156,156,0,RECEIVED
GR000734,001,PO000621,001,2025-01-14 10:00:00,FC_DONGTAN,WMS-L00018,136,136,0,RECEIVED
GR000763,001,PO000646,001,2025-01-14 10:00:00,MFC_GANGNAM,WMS-L00019,101,99,2,PARTIAL
GR001200,001,PO001009,001,2025-01-14 10:00:00,MFC_GANGNAM,WMS-L00029,50,50,0,PARTIAL
GR001601,001,PO001364,001,2025-01-14 10:00:00,MFC_GANGNAM,WMS-L00039,42,42,0,PARTIAL
GR001629,001,PO001390,001,2025-01-14 10:00:00,FC_INCHEON,WMS-L00039,78,78,0,RECEIVED
GR001670,001,PO001425,001,2025-01-14 10:00:00,FC_INCHEON,WMS-L00040,46,43,3,PARTIAL
GR000190,001,PO000156,001,2025-01-15 10:00:00,FC_DONGTAN,WMS-L00005,284,284,0,RECEIVED
GR000314,001,PO000261,001,2025-01-15 10:00:00,FC_DONGTAN,WMS-L00008,355,355,0,RECEIVED
GR000328,001,PO000273,001,2025-01-15 10:00:00,FC_INCHEON,WMS-L00008,223,223,0,RECEIVED
GR000540,001,PO000458,001,2025-01-15 10:00:00,FC_INCHEON,WMS-L00013,100,96,4,PARTIAL
GR000802,001,PO000683,001,2025-01-15 10:00:00,MFC_GANGNAM,WMS-L00020,42,42,0,PARTIAL
GR000857,001,PO000732,001,2025-01-15 10:00:00,FC_DONGTAN,WMS-L00021,197,197,0,PARTIAL
GR001286,001,PO001086,001,2025-01-15 10:00:00,MFC_GANGNAM,WMS-L00031,147,0,147,REJECTED
GR001659,001,PO001415,001,2025-01-15 10:00:00,FC_DONGTAN,WMS-L00040,71,71,0,RECEIVED
GR000059,001,PO000050,001,2025-01-16 10:00:00,FC_DONGTAN,WMS-L00002,144,144,0,RECEIVED
GR000274,001,PO000226,001,2025-01-16 10:00:00,FC_DONGTAN,WMS-L00007,257,257,0,RECEIVED
GR000357,001,PO000299,001,2025-01-16 10:00:00,FC_DONGTAN,WMS-L00009,424,424,0,RECEIVED
GR000432,001,PO000361,001,2025-01-16 10:00:00,MFC_GANGNAM,WMS-L00011,41,41,0,RECEIVED
GR000720,001,PO000608,001,2025-01-16 10:00:00,MFC_GANGNAM,WMS-L00018,83,83,0,PARTIAL
GR000749,001,PO000634,001,2025-01-16 10:00:00,FC_INCHEON,WMS-L00018,103,103,0,RECEIVED
GR000776,001,PO000658,001,2025-01-16 10:00:00,FC_DONGTAN,WMS-L00019,158,158,0,PARTIAL
GR000788,001,PO000670,001,2025-01-16 10:00:00,FC_INCHEON,WMS-L00019,91,91,0,PARTIAL
GR000832,001,PO000708,001,2025-01-16 10:00:00,FC_INCHEON,WMS-L00020,119,119,0,RECEIVED
GR001227,001,PO001035,001,2025-01-16 10:00:00,FC_INCHEON,WMS-L00029,72,72,0,RECEIVED
GR001644,001,PO001402,001,2025-01-16 10:00:00,MFC_GANGNAM,WMS-L00040,46,45,1,PARTIAL
GR000416,001,PO000348,001,2025-01-17 10:00:00,FC_INCHEON,WMS-L00010,231,231,0,RECEIVED
GR000511,001,PO000432,001,2025-01-17 10:00:00,MFC_GANGNAM,WMS-L00013,86,86,0,PARTIAL
GR001136,001,PO000960,001,2025-01-17 10:00:00,FC_INCHEON,WMS-L00027,164,159,5,PARTIAL
GR000105,001,PO000086,001,2025-01-18 10:00:00,FC_DONGTAN,WMS-L00003,234,234,0,RECEIVED
GR000232,001,PO000190,001,2025-01-18 10:00:00,FC_DONGTAN,WMS-L00006,288,288,0,RECEIVED
GR000244,001,PO000201,001,2025-01-18 10:00:00,FC_INCHEON,WMS-L00006,150,150,0,PARTIAL
GR000399,001,PO000335,001,2025-01-18 10:00:00,FC_DONGTAN,WMS-L00010,201,201,0,PARTIAL
GR000446,001,PO000374,001,2025-01-18 10:00:00,FC_DONGTAN,WMS-L00011,88,88,0,RECEIVED
GR000819,001,PO000696,001,2025-01-18 10:00:00,FC_DONGTAN,WMS-L00020,141,141,0,RECEIVED
GR000214,001,PO000179,001,2025-01-19 10:00:00,MFC_GANGNAM,WMS-L00006,67,67,0,PARTIAL
GR000885,001,PO000757,001,2025-01-19 10:00:00,MFC_GANGNAM,WMS-L00022,94,94,0,PARTIAL
GR000962,001,PO000818,001,2025-01-19 10:00:00,FC_INCHEON,WMS-L00023,62,62,0,PARTIAL
GR001124,001,PO000950,001,2025-01-19 10:00:00,FC_DONGTAN,WMS-L00027,130,130,0,PARTIAL
GR000088,001,PO000074,001,2025-01-20 10:00:00,MFC_GANGNAM,WMS-L00003,64,64,0,PARTIAL
GR000178,002,PO000144,001,2025-01-21 10:00:00,MFC_GANGNAM,WMS-L00005,81,81,0,RECEIVED
GR000934,001,PO000796,001,2025-01-21 10:00:00,MFC_GANGNAM,WMS-L00023,136,136,0,RECEIVED
GR000383,001,PO000323,001,2025-01-22 10:00:00,MFC_GANGNAM,WMS-L00010,136,136,0,RECEIVED
GR000803,002,PO000683,001,2025-01-22 10:00:00,MFC_GANGNAM,WMS-L00020,27,27,0,RECEIVED
GR000899,001,PO000770,001,2025-01-22 10:00:00,FC_DONGTAN,WMS-L00022,90,90,0,PARTIAL
GR000963,002,PO000818,001,2025-01-22 10:00:00,FC_INCHEON,WMS-L00023,43,43,0,PARTIAL
GR001047,001,PO000888,001,2025-01-22 10:00:00,FC_INCHEON,WMS-L00025,56,0,56,REJECTED
GR001184,001,PO000997,001,2025-01-22 10:00:00,FC_INCHEON,WMS-L00028,180,180,0,RECEIVED
GR000089,002,PO000074,001,2025-01-23 10:00:00,MFC_GANGNAM,WMS-L00003,34,34,0,PARTIAL
GR000120,001,PO000098,001,2025-01-23 10:00:00,FC_INCHEON,WMS-L00003,127,123,4,PARTIAL
GR001240,001,PO001048,001,2025-01-23 10:00:00,MFC_GANGNAM,WMS-L00030,54,54,0,PARTIAL
GR001252,001,PO001060,001,2025-01-23 10:00:00,FC_DONGTAN,WMS-L00030,110,110,0,RECEIVED
GR001602,002,PO001364,001,2025-01-23 10:00:00,MFC_GANGNAM,WMS-L00039,21,21,0,RECEIVED
GR000045,001,PO000038,001,2025-01-24 10:00:00,MFC_GANGNAM,WMS-L00002,65,65,0,PARTIAL
GR000215,002,PO000179,001,2025-01-24 10:00:00,MFC_GANGNAM,WMS-L00006,69,68,1,PARTIAL
GR000916,001,PO000783,001,2025-01-24 10:00:00,FC_INCHEON,WMS-L00022,105,105,0,PARTIAL
GR000947,001,PO000806,001,2025-01-24 10:00:00,FC_DONGTAN,WMS-L00023,255,255,0,RECEIVED
GR000990,001,PO000841,001,2025-01-24 10:00:00,FC_DONGTAN,WMS-L00024,131,131,0,PARTIAL
GR001022,001,PO000865,001,2025-01-24 10:00:00,MFC_GANGNAM,WMS-L00025,41,41,0,PARTIAL
GR001035,001,PO000876,001,2025-01-24 10:00:00,FC_DONGTAN,WMS-L00025,99,99,0,PARTIAL
GR001107,001,PO000938,001,2025-01-24 10:00:00,MFC_GANGNAM,WMS-L00027,151,151,0,RECEIVED
GR001151,001,PO000973,001,2025-01-24 10:00:00,MFC_GANGNAM,WMS-L00028,83,83,0,PARTIAL
GR000975,001,PO000829,001,2025-01-25 10:00:00,MFC_GANGNAM,WMS-L00024,87,87,0,RECEIVED
GR001167,001,PO000985,001,2025-01-25 10:00:00,FC_DONGTAN,WMS-L00028,207,207,0,RECEIVED
GR001267,001,PO001073,001,2025-01-25 10:00:00,FC_INCHEON,WMS-L00030,38,38,0,PARTIAL
GR000046,002,PO000038,001,2025-01-26 10:00:00,MFC_GANGNAM,WMS-L00002,30,30,0,PARTIAL
GR001125,002,PO000950,001,2025-01-27 10:00:00,FC_DONGTAN,WMS-L00027,103,103,0,PARTIAL
GR001152,002,PO000973,001,2025-01-27 10:00:00,MFC_GANGNAM,WMS-L00028,51,51,0,RECEIVED
GR000121,002,PO000098,001,2025-01-28 10:00:00,FC_INCHEON,WMS-L00003,59,59,0,PARTIAL
GR001023,002,PO000865,001,2025-01-28 10:00:00,MFC_GANGNAM,WMS-L00025,28,28,0,PARTIAL
GR000900,002,PO000770,001,2025-01-30 10:00:00,FC_DONGTAN,WMS-L00022,60,60,0,RECEIVED
GR001048,002,PO000888,001,2025-01-30 10:00:00,FC_INCHEON,WMS-L00025,29,29,0,PARTIAL
GR001268,002,PO001073,001,2025-01-30 10:00:00,FC_INCHEON,WMS-L00030,40,40,0,RECEIVED
GR001365,001,PO001154,001,2025-01-31 10:00:00,MFC_GANGNAM,WMS-L00033,34,34,0,RECEIVED
GR001376,001,PO001166,001,2025-01-31 10:00:00,FC_DONGTAN,WMS-L00033,50,50,0,RECEIVED
GR000016,001,PO000014,001,2025-02-03 10:00:00,FC_DONGTAN,WMS-L00001,94,94,0,PARTIAL
GR001562,001,PO001329,001,2025-02-03 10:00:00,MFC_GANGNAM,WMS-L00038,40,40,0,RECEIVED
GR001590,001,PO001353,001,2025-02-03 10:00:00,FC_INCHEON,WMS-L00038,46,46,0,RECEIVED
GR001483,001,PO001257,001,2025-02-04 10:00:00,MFC_GANGNAM,WMS-L00036,32,31,1,PARTIAL
GR000029,001,PO000026,001,2025-02-06 10:00:00,FC_INCHEON,WMS-L00001,80,80,0,RECEIVED
GR000164,001,PO000134,001,2025-02-06 10:00:00,FC_INCHEON,WMS-L00004,141,141,0,PARTIAL
GR001513,001,PO001282,001,2025-02-06 10:00:00,FC_INCHEON,WMS-L00036,45,45,0,PARTIAL
GR001390,001,PO001177,001,2025-02-07 10:00:00,FC_INCHEON,WMS-L00033,48,48,0,PARTIAL
GR001201,001,PO001010,001,2025-02-08 10:00:00,MFC_GANGNAM,WMS-L00029,67,67,0,RECEIVED
GR001066,001,PO000901,001,2025-02-09 10:00:00,MFC_GANGNAM,WMS-L00026,104,104,0,RECEIVED
GR001484,002,PO001257,001,2025-02-09 10:00:00,MFC_GANGNAM,WMS-L00036,15,15,0,PARTIAL
GR001526,001,PO001294,001,2025-02-09 10:00:00,MFC_GANGNAM,WMS-L00037,68,68,0,RECEIVED
GR001576,001,PO001340,001,2025-02-09 10:00:00,FC_DONGTAN,WMS-L00038,80,80,0,RECEIVED
GR001630,001,PO001391,001,2025-02-09 10:00:00,FC_INCHEON,WMS-L00039,83,82,1,PARTIAL
GR000191,001,PO000157,001,2025-02-10 10:00:00,FC_DONGTAN,WMS-L00005,312,304,8,PARTIAL
GR000373,001,PO000313,001,2025-02-10 10:00:00,FC_INCHEON,WMS-L00009,251,251,0,RECEIVED
GR000541,001,PO000459,001,2025-02-10 10:00:00,FC_INCHEON,WMS-L00013,66,66,0,PARTIAL
GR000777,001,PO000659,001,2025-02-10 10:00:00,FC_DONGTAN,WMS-L00019,178,178,0,RECEIVED
GR000845,001,PO000721,001,2025-02-10 10:00:00,MFC_GANGNAM,WMS-L00021,130,130,0,RECEIVED
GR000870,001,PO000745,001,2025-02-10 10:00:00,FC_INCHEON,WMS-L00021,150,150,0,RECEIVED
GR001314,001,PO001110,001,2025-02-10 10:00:00,FC_INCHEON,WMS-L00031,142,142,0,PARTIAL
GR001603,001,PO001365,001,2025-02-10 10:00:00,MFC_GANGNAM,WMS-L00039,72,72,0,RECEIVED
GR001616,001,PO001378,001,2025-02-10 10:00:00,FC_DONGTAN,WMS-L00039,112,112,0,RECEIVED
GR000287,001,PO000238,001,2025-02-11 10:00:00,FC_INCHEON,WMS-L00007,180,180,0,RECEIVED
GR000512,001,PO000433,001,2025-02-11 10:00:00,MFC_GANGNAM,WMS-L00013,97,97,0,RECEIVED
GR000750,001,PO000635,001,2025-02-11 10:00:00,FC_INCHEON,WMS-L00018,116,116,0,RECEIVED
GR000804,001,PO000684,001,2025-02-11 10:00:00,MFC_GANGNAM,WMS-L00020,63,63,0,PARTIAL
GR000820,001,PO000697,001,2025-02-11 10:00:00,FC_DONGTAN,WMS-L00020,136,136,0,RECEIVED
GR000833,001,PO000709,001,2025-02-11 10:00:00,FC_INCHEON,WMS-L00020,79,75,4,PARTIAL
GR001079,001,PO000914,001,2025-02-11 10:00:00,FC_DONGTAN,WMS-L00026,73,73,0,PARTIAL
GR001228,001,PO001036,001,2025-02-11 10:00:00,FC_INCHEON,WMS-L00029,62,62,0,PARTIAL
GR001287,001,PO001087,001,2025-02-11 10:00:00,MFC_GANGNAM,WMS-L00031,142,142,0,RECEIVED
GR001456,001,PO001233,001,2025-02-11 10:00:00,FC_DONGTAN,WMS-L00035,46,44,2,PARTIAL
GR001497,001,PO001270,001,2025-02-11 10:00:00,FC_DONGTAN,WMS-L00036,52,52,0,PARTIAL
GR001671,001,PO001426,001,2025-02-11 10:00:00,FC_INCHEON,WMS-L00040,45,45,0,RECEIVED
GR000060,001,PO000051,001,2025-02-12 10:00:00,FC_DONGTAN,WMS-L00002,140,140,0,RECEIVED
GR000262,001,PO000214,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00007,141,137,4,PARTIAL
GR000301,001,PO000250,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00008,213,213,0,RECEIVED
GR000315,001,PO000262,001,2025-02-12 10:00:00,FC_DONGTAN,WMS-L00008,336,336,0,RECEIVED
GR000329,001,PO000274,001,2025-02-12 10:00:00,FC_INCHEON,WMS-L00008,124,124,0,PARTIAL
GR000343,001,PO000287,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00009,217,217,0,PARTIAL
GR000433,001,PO000362,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00011,48,48,0,RECEIVED
GR000735,001,PO000622,001,2025-02-12 10:00:00,FC_DONGTAN,WMS-L00018,180,180,0,RECEIVED
GR000764,001,PO000647,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00019,95,95,0,RECEIVED
GR000858,001,PO000733,001,2025-02-12 10:00:00,FC_DONGTAN,WMS-L00021,245,245,0,RECEIVED
GR001214,001,PO001023,001,2025-02-12 10:00:00,FC_DONGTAN,WMS-L00029,108,108,0,RECEIVED
GR001440,001,PO001220,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00035,46,46,0,RECEIVED
GR001548,001,PO001316,001,2025-02-12 10:00:00,FC_INCHEON,WMS-L00037,29,0,29,REJECTED
GR001645,001,PO001403,001,2025-02-12 10:00:00,MFC_GANGNAM,WMS-L00040,29,29,0,PARTIAL
GR001660,001,PO001416,001,2025-02-12 10:00:00,FC_DONGTAN,WMS-L00040,63,59,4,PARTIAL
GR000072,001,PO000062,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00002,74,74,0,PARTIAL
GR000122,001,PO000099,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00003,165,165,0,RECEIVED
GR000148,001,PO000121,001,2025-02-13 10:00:00,FC_DONGTAN,WMS-L00004,237,237,0,PARTIAL
GR000179,001,PO000145,001,2025-02-13 10:00:00,MFC_GANGNAM,WMS-L00005,188,188,0,RECEIVED
GR000203,001,PO000168,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00005,238,238,0,RECEIVED
GR000245,001,PO000202,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00006,113,0,113,REJECTED
GR000358,001,PO000300,001,2025-02-13 10:00:00,FC_DONGTAN,WMS-L00009,357,357,0,RECEIVED
GR000459,001,PO000387,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00011,42,42,0,PARTIAL
GR000721,001,PO000609,001,2025-02-13 10:00:00,MFC_GANGNAM,WMS-L00018,106,106,0,RECEIVED
GR000789,001,PO000671,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00019,125,125,0,PARTIAL
GR001095,001,PO000927,001,2025-02-13 10:00:00,FC_INCHEON,WMS-L00026,102,102,0,RECEIVED
GR001300,001,PO001099,001,2025-02-13 10:00:00,FC_DONGTAN,WMS-L00031,209,209,0,PARTIAL
GR000417,001,PO000349,001,2025-02-14 10:00:00,FC_INCHEON,WMS-L00010,123,123,0,PARTIAL
GR000527,001,PO000446,001,2025-02-14 10:00:00,FC_DONGTAN,WMS-L00013,139,139,0,RECEIVED
GR001338,001,PO001132,001,2025-02-14 10:00:00,FC_DONGTAN,WMS-L00032,121,121,0,PARTIAL
GR001428,001,PO001208,001,2025-02-14 10:00:00,FC_INCHEON,WMS-L00034,116,116,0,PARTIAL
GR001514,002,PO001282,001,2025-02-14 10:00:00,FC_INCHEON,WMS-L00036,20,20,0,RECEIVED
GR001549,002,PO001316,001,2025-02-14 10:00:00,FC_INCHEON,WMS-L00037,35,35,0,PARTIAL
GR000001,001,PO000001,001,2025-02-15 10:00:00,MFC_GANGNAM,WMS-L00001,52,52,0,PARTIAL
GR000447,001,PO000375,001,2025-02-15 10:00:00,FC_DONGTAN,WMS-L00011,68,68,0,RECEIVED
GR000948,001,PO000807,001,2025-02-15 10:00:00,FC_DONGTAN,WMS-L00023,214,214,0,RECEIVED
GR001168,001,PO000986,001,2025-02-15 10:00:00,FC_DONGTAN,WMS-L00028,132,132,0,PARTIAL
GR001269,001,PO001074,001,2025-02-15 10:00:00,FC_INCHEON,WMS-L00030,58,58,0,PARTIAL
GR000233,001,PO000191,001,2025-02-16 10:00:00,FC_DONGTAN,WMS-L00006,253,249,4,PARTIAL
GR000400,001,PO000336,001,2025-02-16 10:00:00,FC_DONGTAN,WMS-L00010,171,171,0,PARTIAL
GR000707,001,PO000597,001,2025-02-16 10:00:00,FC_INCHEON,WMS-L00017,96,96,0,PARTIAL
GR000976,001,PO000830,001,2025-02-16 10:00:00,MFC_GANGNAM,WMS-L00024,51,51,0,PARTIAL
GR000384,001,PO000324,001,2025-02-17 10:00:00,MFC_GANGNAM,WMS-L00010,150,150,0,RECEIVED
GR000805,002,PO000684,001,2025-02-17 10:00:00,MFC_GANGNAM,WMS-L00020,30,30,0,RECEIVED
GR000935,001,PO000797,001,2025-02-17 10:00:00,MFC_GANGNAM,WMS-L00023,83,83,0,PARTIAL
GR001241,001,PO001049,001,2025-02-17 10:00:00,MFC_GANGNAM,WMS-L00030,58,57,1,PARTIAL
GR001414,001,PO001197,001,2025-02-17 10:00:00,FC_DONGTAN,WMS-L00034,164,164,0,RECEIVED
GR001498,002,PO001270,001,2025-02-17 10:00:00,FC_DONGTAN,WMS-L00036,29,29,0,PARTIAL
GR000216,001,PO000180,001,2025-02-18 10:00:00,MFC_GANGNAM,WMS-L00006,161,161,0,RECEIVED
GR000557,001,PO000471,001,2025-02-18 10:00:00,MFC_GANGNAM,WMS-L00014,32,32,0,PARTIAL
GR000638,001,PO000539,001,2025-02-18 10:00:00,MFC_GANGNAM,WMS-L00016,43,43,0,PARTIAL
GR000901,001,PO000771,001,2025-02-18 10:00:00,FC_DONGTAN,WMS-L00022,168,168,0,RECEIVED
GR001036,001,PO000877,001,2025-02-18 10:00:00,FC_DONGTAN,WMS-L00025,129,129,0,RECEIVED
GR001126,001,PO000951,001,2025-02-18 10:00:00,FC_DONGTAN,WMS-L00027,173,173,0,PARTIAL
GR001153,001,PO000974,001,2025-02-18 10:00:00,MFC_GANGNAM,WMS-L00028,127,127,0,PARTIAL
GR001169,002,PO000986,001,2025-02-18 10:00:00,FC_DONGTAN,WMS-L00028,116,116,0,RECEIVED
GR001185,001,PO000998,001,2025-02-18 10:00:00,FC_INCHEON,WMS-L00028,149,149,0,PARTIAL
GR000047,001,PO000039,001,2025-02-19 10:00:00,MFC_GANGNAM,WMS-L00002,101,94,7,PARTIAL
GR000106,001,PO000087,001,2025-02-19 10:00:00,FC_DONGTAN,WMS-L00003,126,126,0,PARTIAL
GR000246,002,PO000202,001,2025-02-19 10:00:00,FC_INCHEON,WMS-L00006,78,78,0,PARTIAL
GR000460,002,PO000387,001,2025-02-19 10:00:00,FC_INCHEON,WMS-L00011,16,16,0,RECEIVED
GR000677,001,PO000574,001,2025-02-19 10:00:00,MFC_GANGNAM,WMS-L00017,89,89,0,PARTIAL
GR000917,001,PO000784,001,2025-02-19 10:00:00,FC_INCHEON,WMS-L00022,111,105,6,PARTIAL
GR001005,001,PO000853,001,2025-02-19 10:00:00,FC_INCHEON,WMS-L00024,85,85,0,PARTIAL
GR001080,002,PO000914,001,2025-02-19 10:00:00,FC_DONGTAN,WMS-L00026,88,82,6,PARTIAL
GR001646,002,PO001403,001,2025-02-19 10:00:00,MFC_GANGNAM,WMS-L00040,16,16,0,RECEIVED
GR000542,002,PO000459,001,2025-02-20 10:00:00,FC_INCHEON,WMS-L00013,29,29,0,RECEIVED
GR000886,001,PO000758,001,2025-02-20 10:00:00,MFC_GANGNAM,WMS-L00022,81,81,0,RECEIVED
GR001326,001,PO001121,001,2025-02-20 10:00:00,MFC_GANGNAM,WMS-L00032,80,75,5,PARTIAL
GR000090,001,PO000075,001,2025-02-21 10:00:00,MFC_GANGNAM,WMS-L00003,82,82,0,PARTIAL
GR000991,001,PO000842,001,2025-02-21 10:00:00,FC_DONGTAN,WMS-L00024,131,131,0,PARTIAL
GR001049,001,PO000889,001,2025-02-21 10:00:00,FC_INCHEON,WMS-L00025,71,71,0,PARTIAL
GR001108,001,PO000939,001,2025-02-21 10:00:00,MFC_GANGNAM,WMS-L00027,124,124,0,PARTIAL
GR001270,002,PO001074,001,2025-02-21 10:00:00,FC_INCHEON,WMS-L00030,21,21,0,RECEIVED
GR000330,002,PO000274,001,2025-02-22 10:00:00,FC_INCHEON,WMS-L00008,96,96,0,RECEIVED
GR000964,001,PO000819,001,2025-02-22 10:00:00,FC_INCHEON,WMS-L00023,149,149,0,RECEIVED
GR001253,001,PO001061,001,2025-02-22 10:00:00,FC_DONGTAN,WMS-L00030,106,106,0,RECEIVED
GR000073,002,PO000062,001,2025-02-23 10:00:00,FC_INCHEON,WMS-L00002,26,26,0,RECEIVED
GR000107,002,PO000087,001,2025-02-23 10:00:00,FC_DONGTAN,WMS-L00003,69,69,0,PARTIAL
GR001137,001,PO000961,001,2025-02-23 10:00:00,FC_INCHEON,WMS-L00027,152,152,0,RECEIVED
GR001339,002,PO001132,001,2025-02-23 10:00:00,FC_DONGTAN,WMS-L00032,42,42,0,PARTIAL
GR000977,002,PO000830,001,2025-02-25 10:00:00,MFC_GANGNAM,WMS-L00024,23,23,0,PARTIAL
GR001327,002,PO001121,001,2025-02-26 10:00:00,MFC_GANGNAM,WMS-L00032,30,30,0,PARTIAL
GR001391,001,PO001178,001,2025-02-26 10:00:00,FC_INCHEON,WMS-L00033,28,28,0,PARTIAL
GR000091,002,PO000075,001,2025-02-27 10:00:00,MFC_GANGNAM,WMS-L00003,55,55,0,RECEIVED
GR000598,001,PO000506,001,2025-02-27 10:00:00,MFC_GANGNAM,WMS-L00015,60,60,0,PARTIAL
GR000649,001,PO000550,001,2025-02-27 10:00:00,FC_DONGTAN,WMS-L00016,20,20,0,PARTIAL
GR001591,001,PO001354,001,2025-02-27 10:00:00,FC_INCHEON,WMS-L00038,42,41,1,PARTIAL
GR000567,001,PO000483,001,2025-02-28 10:00:00,FC_DONGTAN,WMS-L00014,36,36,0,PARTIAL
GR001550,001,PO001317,001,2025-02-28 10:00:00,FC_INCHEON,WMS-L00037,75,75,0,RECEIVED
GR001577,001,PO001341,001,2025-02-28 10:00:00,FC_DONGTAN,WMS-L00038,65,65,0,PARTIAL
GR001392,002,PO001178,001,2025-03-01 10:00:00,FC_INCHEON,WMS-L00033,12,12,0,RECEIVED
GR001441,001,PO001221,001,2025-03-01 10:00:00,MFC_GANGNAM,WMS-L00035,30,30,0,PARTIAL
GR000002,001,PO000002,001,2025-03-03 10:00:00,MFC_GANGNAM,WMS-L00001,39,39,0,PARTIAL
GR000165,001,PO000135,001,2025-03-03 10:00:00,FC_INCHEON,WMS-L00004,132,132,0,PARTIAL
GR001377,001,PO001167,001,2025-03-03 10:00:00,FC_DONGTAN,WMS-L00033,57,57,0,RECEIVED
GR001442,002,PO001221,001,2025-03-03 10:00:00,MFC_GANGNAM,WMS-L00035,15,15,0,RECEIVED
GR001537,001,PO001305,001,2025-03-03 10:00:00,FC_DONGTAN,WMS-L00037,106,106,0,PARTIAL
GR000599,002,PO000506,001,2025-03-04 10:00:00,MFC_GANGNAM,WMS-L00015,45,45,0,PARTIAL
GR000691,001,PO000585,001,2025-03-04 10:00:00,FC_DONGTAN,WMS-L00017,97,97,0,PARTIAL
GR000030,001,PO000027,001,2025-03-05 10:00:00,FC_INCHEON,WMS-L00001,70,70,0,PARTIAL
GR000650,002,PO000550,001,2025-03-05 10:00:00,FC_DONGTAN,WMS-L00016,7,7,0,PARTIAL
GR000003,002,PO000002,001,2025-03-06 10:00:00,MFC_GANGNAM,WMS-L00001,20,20,0,PARTIAL
GR001469,001,PO001245,001,2025-03-06 10:00:00,FC_INCHEON,WMS-L00035,46,46,0,RECEIVED
GR001515,001,PO001283,001,2025-03-08 10:00:00,FC_INCHEON,WMS-L00036,47,47,0,RECEIVED
GR000568,002,PO000483,001,2025-03-09 10:00:00,FC_DONGTAN,WMS-L00014,41,41,0,RECEIVED
GR000846,001,PO000722,001,2025-03-09 10:00:00,MFC_GANGNAM,WMS-L00021,115,115,0,RECEIVED
GR001288,001,PO001088,001,2025-03-09 10:00:00,MFC_GANGNAM,WMS-L00031,136,0,136,REJECTED
GR001672,001,PO001427,001,2025-03-09 10:00:00,FC_INCHEON,WMS-L00040,47,47,0,RECEIVED
GR000344,001,PO000288,001,2025-03-10 10:00:00,MFC_GANGNAM,WMS-L00009,229,229,0,RECEIVED
GR000627,001,PO000529,001,2025-03-10 10:00:00,FC_INCHEON,WMS-L00015,127,127,0,PARTIAL
GR000736,001,PO000623,001,2025-03-10 10:00:00,FC_DONGTAN,WMS-L00018,74,74,0,PARTIAL
