po_id,po_line_id,po_created_date,vendor_id,erp_sku_code,center_id,ordered_qty,confirmed_qty,promised_delivery_date,po_status,cancelled_qty,last_updated_at
PO000670,001,2025-01-06,V003,ERP-I00019,FC_INCHEON,108,108,2025-01-14,Partial,0,2025-01-16 02:00:00
PO000683,001,2025-01-06,V003,ERP-I00020,MFC_GANGNAM,72,69,2025-01-14,Closed,3,2025-01-22 02:00:00
PO000744,001,2025-01-06,V005,ERP-I00021,FC_INCHEON,174,171,2025-01-12,Closed,3,2025-01-12 02:00:00
PO000770,001,2025-01-06,V004,ERP-I00022,FC_DONGTAN,168,150,2025-01-18,Closed,18,2025-01-30 02:00:00
PO000865,001,2025-01-06,V004,ERP-I00025,MFC_GANGNAM,96,86,2025-01-18,Partial,10,2025-01-28 02:00:00
PO000876,001,2025-01-06,V004,ERP-I00025,FC_DONGTAN,120,105,2025-01-18,Partial,15,2025-01-24 02:00:00
PO000888,001,2025-01-06,V004,ERP-I00025,FC_INCHEON,96,85,2025-01-18,Partial,11,2025-01-30 02:00:00
PO000900,001,2025-01-06,V005,ERP-I00026,MFC_GANGNAM,84,80,2025-01-12,Partial,4,2025-01-11 02:00:00
PO000960,001,2025-01-06,V004,ERP-I00027,FC_INCHEON,174,164,2025-01-18,Partial,10,2025-01-17 02:00:00
PO000973,001,2025-01-06,V004,ERP-I00028,MFC_GANGNAM,144,134,2025-01-18,Closed,10,2025-01-27 02:00:00
PO000997,001,2025-01-06,V004,ERP-I00028,FC_INCHEON,192,180,2025-01-18,Closed,12,2025-01-22 02:00:00
PO001009,001,2025-01-06,V005,ERP-I00029,MFC_GANGNAM,60,59,2025-01-12,Partial,1,2025-01-14 02:00:00
PO001098,001,2025-01-06,V005,ERP-I00031,FC_DONGTAN,228,228,2025-01-12,Closed,0,2025-01-11 02:00:00
PO001109,001,2025-01-06,V005,ERP-I00031,FC_INCHEON,180,180,2025-01-12,Closed,0,2025-01-13 02:00:00
PO001208,001,2025-01-06,V008,ERP-I00034,FC_INCHEON,168,149,2025-02-10,Partial,19,2025-02-14 02:00:00
PO001257,001,2025-01-06,V009,ERP-I00036,MFC_GANGNAM,48,47,2025-01-30,Partial,1,2025-02-09 02:00:00
PO001329,001,2025-01-06,V009,ERP-I00038,MFC_GANGNAM,42,40,2025-01-30,Closed,2,2025-02-03 02:00:00
PO000026,001,2025-01-07,V006,ERP-I00001,FC_INCHEON,96,80,2025-02-04,Closed,16,2025-02-06 02:00:00
PO000050,001,2025-01-07,V002,ERP-I00002,FC_DONGTAN,168,144,2025-01-17,Closed,24,2025-01-16 02:00:00
PO000098,001,2025-01-07,V002,ERP-I00003,FC_INCHEON,198,186,2025-01-17,Partial,12,2025-01-28 02:00:00
PO000121,001,2025-01-07,V006,ERP-I00004,FC_DONGTAN,300,255,2025-02-04,Partial,45,2025-02-13 02:00:00
PO000190,001,2025-01-07,V002,ERP-I00006,FC_DONGTAN,324,288,2025-01-17,Closed,36,2025-01-18 02:00:00
PO000213,001,2025-01-07,V001,ERP-I00007,MFC_GANGNAM,144,141,2025-01-14,Closed,3,2025-01-13 02:00:00
PO000249,001,2025-01-07,V001,ERP-I00008,MFC_GANGNAM,186,182,2025-01-14,Closed,4,2025-01-13 02:00:00
PO000286,001,2025-01-07,V001,ERP-I00009,MFC_GANGNAM,240,227,2025-01-14,Closed,13,2025-01-13 02:00:00
PO000299,001,2025-01-07,V001,ERP-I00009,FC_DONGTAN,432,424,2025-01-14,Closed,8,2025-01-16 02:00:00
PO000312,001,2025-01-07,V001,ERP-I00009,FC_INCHEON,288,279,2025-01-14,Partial,9,2025-01-14 02:00:00
PO000323,001,2025-01-07,V002,ERP-I00010,MFC_GANGNAM,174,136,2025-01-17,Closed,38,2025-01-22 02:00:00
PO000471,001,2025-01-07,V007,ERP-I00014,MFC_GANGNAM,72,45,2025-02-18,Partial,27,2025-02-18 02:00:00
PO000494,001,2025-01-07,V007,ERP-I00014,FC_INCHEON,72,53,2025-02-18,Partial,19,2025-03-12 02:00:00
PO000506,001,2025-01-07,V007,ERP-I00015,MFC_GANGNAM,168,145,2025-02-18,Partial,23,2025-03-04 02:00:00
PO000518,001,2025-01-07,V007,ERP-I00015,FC_DONGTAN,384,275,2025-02-18,Closed,109,2025-03-17 02:00:00
PO000539,001,2025-01-07,V007,ERP-I00016,MFC_GANGNAM,72,60,2025-02-18,Partial,12,2025-02-18 02:00:00
PO000574,001,2025-01-07,V007,ERP-I00017,MFC_GANGNAM,144,125,2025-02-18,Partial,19,2025-02-19 02:00:00
PO000585,001,2025-01-07,V007,ERP-I00017,FC_DONGTAN,240,150,2025-02-18,Closed,90,2025-03-13 02:00:00
PO000597,001,2025-01-07,V007,ERP-I00017,FC_INCHEON,168,117,2025-02-18,Partial,51,2025-02-16 02:00:00
PO000621,001,2025-01-07,V003,ERP-I00018,FC_DONGTAN,144,136,2025-01-15,Closed,8,2025-01-14 02:00:00
PO000708,001,2025-01-07,V003,ERP-I00020,FC_INCHEON,120,119,2025-01-15,Closed,1,2025-01-16 02:00:00
PO000732,001,2025-01-07,V005,ERP-I00021,FC_DONGTAN,216,216,2025-01-13,Partial,0,2025-01-15 02:00:00
PO000806,001,2025-01-07,V004,ERP-I00023,FC_DONGTAN,264,255,2025-01-19,Closed,9,2025-01-24 02:00:00
PO000818,001,2025-01-07,V004,ERP-I00023,FC_INCHEON,150,124,2025-01-19,Partial,26,2025-01-22 02:00:00
PO000913,001,2025-01-07,V005,ERP-I00026,FC_DONGTAN,156,148,2025-01-13,Partial,8,2025-01-12 02:00:00
PO000938,001,2025-01-07,V004,ERP-I00027,MFC_GANGNAM,180,151,2025-01-19,Closed,29,2025-01-24 02:00:00
PO001022,001,2025-01-07,V005,ERP-I00029,FC_DONGTAN,114,109,2025-01-13,Closed,5,2025-01-13 02:00:00
PO001060,001,2025-01-07,V004,ERP-I00030,FC_DONGTAN,120,110,2025-01-19,Closed,10,2025-01-23 02:00:00
PO001073,001,2025-01-07,V004,ERP-I00030,FC_INCHEON,96,78,2025-01-19,Closed,18,2025-01-30 02:00:00
PO001121,001,2025-01-07,V008,ERP-I00032,MFC_GANGNAM,120,110,2025-02-11,Partial,10,2025-02-26 02:00:00
PO001132,001,2025-01-07,V008,ERP-I00032,FC_DONGTAN,210,195,2025-02-11,Partial,15,2025-02-23 02:00:00
PO001154,001,2025-01-07,V009,ERP-I00033,MFC_GANGNAM,36,34,2025-01-31,Closed,2,2025-01-31 02:00:00
PO001197,001,2025-01-07,V008,ERP-I00034,FC_DONGTAN,192,164,2025-02-11,Closed,28,2025-02-17 02:00:00
PO001220,001,2025-01-07,V009,ERP-I00035,MFC_GANGNAM,48,46,2025-01-31,Closed,2,2025-02-12 02:00:00
PO001270,001,2025-01-07,V009,ERP-I00036,FC_DONGTAN,90,89,2025-01-31,Partial,1,2025-02-17 02:00:00
PO001294,001,2025-01-07,V009,ERP-I00037,MFC_GANGNAM,72,68,2025-01-31,Closed,4,2025-02-09 02:00:00
PO001316,001,2025-01-07,V009,ERP-I00037,FC_INCHEON,66,64,2025-01-31,Partial,2,2025-02-14 02:00:00
PO001364,001,2025-01-07,V005,ERP-I00039,MFC_GANGNAM,66,63,2025-01-13,Closed,3,2025-01-23 02:00:00
PO001377,001,2025-01-07,V005,ERP-I00039,FC_DONGTAN,132,126,2025-01-13,Closed,6,2025-01-12 02:00:00
PO001425,001,2025-01-07,V005,ERP-I00040,FC_INCHEON,48,46,2025-01-13,Partial,2,2025-01-14 02:00:00
PO000001,001,2025-01-08,V006,ERP-I00001,MFC_GANGNAM,78,74,2025-02-05,Partial,4,2025-02-15 02:00:00
PO000014,001,2025-01-08,V006,ERP-I00001,FC_DONGTAN,138,115,2025-02-05,Partial,23,2025-02-03 02:00:00
PO000038,001,2025-01-08,V002,ERP-I00002,MFC_GANGNAM,120,109,2025-01-18,Partial,11,2025-01-26 02:00:00
PO000086,001,2025-01-08,V002,ERP-I00003,FC_DONGTAN,252,234,2025-01-18,Closed,18,2025-01-18 02:00:00
PO000134,001,2025-01-08,V006,ERP-I00004,FC_INCHEON,228,196,2025-02-05,Partial,32,2025-02-06 02:00:00
PO000144,001,2025-01-08,V001,ERP-I00005,MFC_GANGNAM,186,181,2025-01-15,Closed,5,2025-01-21 02:00:00
PO000179,001,2025-01-08,V002,ERP-I00006,MFC_GANGNAM,204,170,2025-01-18,Partial,34,2025-01-24 02:00:00
PO000201,001,2025-01-08,V002,ERP-I00006,FC_INCHEON,210,177,2025-01-18,Partial,33,2025-01-18 02:00:00
PO000226,001,2025-01-08,V001,ERP-I00007,FC_DONGTAN,264,257,2025-01-15,Closed,7,2025-01-16 02:00:00
PO000261,001,2025-01-08,V001,ERP-I00008,FC_DONGTAN,360,355,2025-01-15,Closed,5,2025-01-15 02:00:00
PO000273,001,2025-01-08,V001,ERP-I00008,FC_INCHEON,234,223,2025-01-15,Closed,11,2025-01-15 02:00:00
PO000374,001,2025-01-08,V003,ERP-I00011,FC_DONGTAN,90,88,2025-01-16,Closed,2,2025-01-18 02:00:00
PO000398,001,2025-01-08,V007,ERP-I00012,MFC_GANGNAM,168,113,2025-02-19,Partial,55,2025-03-18 02:00:00
PO000432,001,2025-01-08,V003,ERP-I00013,MFC_GANGNAM,102,98,2025-01-16,Partial,4,2025-01-17 02:00:00
PO000458,001,2025-01-08,V003,ERP-I00013,FC_INCHEON,102,100,2025-01-16,Partial,2,2025-01-15 02:00:00
PO000483,001,2025-01-08,V007,ERP-I00014,FC_DONGTAN,96,77,2025-02-19,Closed,19,2025-03-09 02:00:00
PO000529,001,2025-01-08,V007,ERP-I00015,FC_INCHEON,216,149,2025-02-19,Partial,67,2025-03-10 02:00:00
PO000696,001,2025-01-08,V003,ERP-I00020,FC_DONGTAN,144,141,2025-01-16,Closed,3,2025-01-18 02:00:00
PO000720,001,2025-01-08,V005,ERP-I00021,MFC_GANGNAM,126,120,2025-01-14,Partial,6,2025-01-13 02:00:00
PO000757,001,2025-01-08,V004,ERP-I00022,MFC_GANGNAM,120,115,2025-01-20,Partial,5,2025-01-19 02:00:00
PO000783,001,2025-01-08,V004,ERP-I00022,FC_INCHEON,120,114,2025-01-20,Partial,6,2025-01-24 02:00:00
PO000796,001,2025-01-08,V004,ERP-I00023,MFC_GANGNAM,144,136,2025-01-20,Closed,8,2025-01-21 02:00:00
PO000829,001,2025-01-08,V004,ERP-I00024,MFC_GANGNAM,102,87,2025-01-20,Closed,15,2025-01-25 02:00:00
PO000841,001,2025-01-08,V004,ERP-I00024,FC_DONGTAN,180,153,2025-01-20,Partial,27,2025-01-24 02:00:00
PO000926,001,2025-01-08,V005,ERP-I00026,FC_INCHEON,108,107,2025-01-14,Partial,1,2025-01-13 02:00:00
PO000950,001,2025-01-08,V004,ERP-I00027,FC_DONGTAN,282,262,2025-01-20,Partial,20,2025-01-27 02:00:00
PO000985,001,2025-01-08,V004,ERP-I00028,FC_DONGTAN,240,207,2025-01-20,Closed,33,2025-01-25 02:00:00
PO001035,001,2025-01-08,V005,ERP-I00029,FC_INCHEON,72,72,2025-01-14,Closed,0,2025-01-16 02:00:00
PO001048,001,2025-01-08,V004,ERP-I00030,MFC_GANGNAM,72,61,2025-01-20,Partial,11,2025-01-23 02:00:00
PO001086,001,2025-01-08,V005,ERP-I00031,MFC_GANGNAM,156,147,2025-01-14,Open,9,2025-01-15 02:00:00
PO001166,001,2025-01-08,V009,ERP-I00033,FC_DONGTAN,54,50,2025-02-01,Closed,4,2025-01-31 02:00:00
PO001177,001,2025-01-08,V009,ERP-I00033,FC_INCHEON,54,54,2025-02-01,Partial,0,2025-02-07 02:00:00
PO001233,001,2025-01-08,V009,ERP-I00035,FC_DONGTAN,48,46,2025-02-01,Partial,2,2025-02-11 02:00:00
PO001282,001,2025-01-08,V009,ERP-I00036,FC_INCHEON,66,65,2025-02-01,Closed,1,2025-02-14 02:00:00
PO001340,001,2025-01-08,V009,ERP-I00038,FC_DONGTAN,84,80,2025-02-01,Closed,4,2025-02-09 02:00:00
PO001353,001,2025-01-08,V009,ERP-I00038,FC_INCHEON,48,46,2025-02-01,Closed,2,2025-02-03 02:00:00
PO001390,001,2025-01-08,V005,ERP-I00039,FC_INCHEON,78,78,2025-01-14,Closed,0,2025-01-14 02:00:00
PO001402,001,2025-01-08,V005,ERP-I00040,MFC_GANGNAM,48,46,2025-01-14,Partial,2,2025-01-16 02:00:00
PO001415,001,2025-01-08,V005,ERP-I00040,FC_DONGTAN,72,71,2025-01-14,Closed,1,2025-01-15 02:00:00
PO000039,001,2025-02-03,V002,ERP-I00002,MFC_GANGNAM,120,101,2025-02-13,Partial,19,2025-02-19 02:00:00
PO000051,001,2025-02-03,V002,ERP-I00002,FC_DONGTAN,144,140,2025-02-13,Closed,4,2025-02-12 02:00:00
PO000062,001,2025-02-03,V002,ERP-I00002,FC_INCHEON,120,100,2025-02-13,Closed,20,2025-02-23 02:00:00
PO000110,001,2025-02-03,V006,ERP-I00004,MFC_GANGNAM,192,158,2025-03-03,Partial,34,2025-03-15 02:00:00
PO000180,001,2025-02-03,V002,ERP-I00006,MFC_GANGNAM,174,161,2025-02-13,Closed,13,2025-02-18 02:00:00
PO000262,001,2025-02-03,V001,ERP-I00008,FC_DONGTAN,354,336,2025-02-10,Closed,18,2025-02-12 02:00:00
PO000313,001,2025-02-03,V001,ERP-I00009,FC_INCHEON,264,251,2025-02-10,Closed,13,2025-02-10 02:00:00
PO000336,001,2025-02-03,V002,ERP-I00010,FC_DONGTAN,312,243,2025-02-13,Partial,69,2025-02-16 02:00:00
PO000349,001,2025-02-03,V002,ERP-I00010,FC_INCHEON,198,161,2025-02-13,Partial,37,2025-02-14 02:00:00
PO000420,001,2025-02-03,V007,ERP-I00012,FC_INCHEON,216,187,2025-03-17,Partial,29,2025-03-29 02:00:00
PO000459,001,2025-02-03,V003,ERP-I00013,FC_INCHEON,96,95,2025-02-11,Closed,1,2025-02-20 02:00:00
PO000495,001,2025-02-03,V007,ERP-I00014,FC_INCHEON,72,52,2025-03-17,Partial,20,2025-04-02 02:00:00
PO000507,001,2025-02-03,V007,ERP-I00015,MFC_GANGNAM,192,137,2025-03-17,Partial,55,2025-04-08 02:00:00
PO000551,001,2025-02-03,V007,ERP-I00016,FC_DONGTAN,96,72,2025-03-17,Partial,24,2025-03-14 02:00:00
PO000575,001,2025-02-03,V007,ERP-I00017,MFC_GANGNAM,144,104,2025-03-17,Closed,40,2025-03-30 02:00:00
PO000659,001,2025-02-03,V003,ERP-I00019,FC_DONGTAN,180,178,2025-02-11,Closed,2,2025-02-10 02:00:00
PO000684,001,2025-02-03,V003,ERP-I00020,MFC_GANGNAM,96,93,2025-02-11,Closed,3,2025-02-17 02:00:00
PO000709,001,2025-02-03,V003,ERP-I00020,FC_INCHEON,96,91,2025-02-11,Partial,5,2025-02-11 02:00:00
PO000758,001,2025-02-03,V004,ERP-I00022,MFC_GANGNAM,96,81,2025-02-15,Closed,15,2025-02-20 02:00:00
PO000784,001,2025-02-03,V004,ERP-I00022,FC_INCHEON,144,134,2025-02-15,Partial,10,2025-02-19 02:00:00
PO000797,001,2025-02-03,V004,ERP-I00023,MFC_GANGNAM,144,113,2025-02-15,Partial,31,2025-02-17 02:00:00
PO000807,001,2025-02-03,V004,ERP-I00023,FC_DONGTAN,222,214,2025-02-15,Closed,8,2025-02-15 02:00:00
PO000889,001,2025-02-03,V004,ERP-I00025,FC_INCHEON,96,82,2025-02-15,Partial,14,2025-02-21 02:00:00
PO000986,001,2025-02-03,V004,ERP-I00028,FC_DONGTAN,264,248,2025-02-15,Closed,16,2025-02-18 02:00:00
PO000998,001,2025-02-03,V004,ERP-I00028,FC_INCHEON,168,162,2025-02-15,Partial,6,2025-02-18 02:00:00
PO001010,001,2025-02-03,V005,ERP-I00029,MFC_GANGNAM,72,67,2025-02-09,Closed,5,2025-02-08 02:00:00
PO001036,001,2025-02-03,V005,ERP-I00029,FC_INCHEON,72,69,2025-02-09,Partial,3,2025-02-11 02:00:00
PO001110,001,2025-02-03,V005,ERP-I00031,FC_INCHEON,168,157,2025-02-09,Partial,11,2025-02-10 02:00:00
PO001122,001,2025-02-03,V008,ERP-I00032,MFC_GANGNAM,126,113,2025-03-10,Partial,13,2025-03-22 02:00:00
PO001209,001,2025-02-03,V008,ERP-I00034,FC_INCHEON,144,121,2025-03-10,Partial,23,2025-03-10 02:00:00
PO001245,001,2025-02-03,V009,ERP-I00035,FC_INCHEON,48,46,2025-02-27,Closed,2,2025-03-06 02:00:00
PO001258,001,2025-02-03,V009,ERP-I00036,MFC_GANGNAM,54,0,2025-02-27,Cancelled,54,2025-02-04 00:00:00
PO001317,001,2025-02-03,V009,ERP-I00037,FC_INCHEON,78,75,2025-02-27,Closed,3,2025-02-28 02:00:00
PO001354,001,2025-02-03,V009,ERP-I00038,FC_INCHEON,42,42,2025-02-27,Partial,0,2025-02-27 02:00:00
PO001365,001,2025-02-03,V005,ERP-I00039,MFC_GANGNAM,72,72,2025-02-09,Closed,0,2025-02-10 02:00:00
PO001378,001,2025-02-03,V005,ERP-I00039,FC_DONGTAN,114,112,2025-02-09,Closed,2,2025-02-10 02:00:00
PO001391,001,2025-02-03,V005,ERP-I00039,FC_INCHEON,84,83,2025-02-09,Partial,1,2025-02-09 02:00:00
PO000002,001,2025-02-04,V006,ERP-I00001,MFC_GANGNAM,78,72,2025-03-04,Partial,6,2025-03-06 02:00:00
PO000027,001,2025-02-04,V006,ERP-I00001,FC_INCHEON,78,75,2025-03-04,Partial,3,2025-03-05 02:00:00
PO000087,001,2025-02-04,V002,ERP-I00003,FC_DONGTAN,270,219,2025-02-14,Partial,51,2025-02-23 02:00:00
PO000099,001,2025-02-04,V002,ERP-I00003,FC_INCHEON,198,165,2025-02-14,Closed,33,2025-02-13 02:00:00
PO000122,001,2025-02-04,V006,ERP-I00004,FC_DONGTAN,300,273,2025-03-04,Partial,27,2025-03-12 02:00:00
PO000145,001,2025-02-04,V001,ERP-I00005,MFC_GANGNAM,192,188,2025-02-11,Closed,4,2025-02-13 02:00:00
PO000157,001,2025-02-04,V001,ERP-I00005,FC_DONGTAN,312,312,2025-02-11,Partial,0,2025-02-10 02:00:00
PO000202,001,2025-02-04,V002,ERP-I00006,FC_INCHEON,210,191,2025-02-14,Partial,19,2025-02-19 02:00:00
PO000238,001,2025-02-04,V001,ERP-I00007,FC_INCHEON,192,180,2025-02-11,Closed,12,2025-02-11 02:00:00
PO000287,001,2025-02-04,V001,ERP-I00009,MFC_GANGNAM,240,233,2025-02-11,Partial,7,2025-02-12 02:00:00
PO000300,001,2025-02-04,V001,ERP-I00009,FC_DONGTAN,360,357,2025-02-11,Closed,3,2025-02-13 02:00:00
PO000362,001,2025-02-04,V003,ERP-I00011,MFC_GANGNAM,48,48,2025-02-12,Closed,0,2025-02-12 02:00:00
PO000399,001,2025-02-04,V007,ERP-I00012,MFC_GANGNAM,168,98,2025-03-18,Partial,70,2025-04-01 02:00:00
PO000408,001,2025-02-04,V007,ERP-I00012,FC_DONGTAN,288,246,2025-03-18,Partial,42,2025-04-06 02:00:00
PO000433,001,2025-02-04,V003,ERP-I00013,MFC_GANGNAM,102,97,2025-02-12,Closed,5,2025-02-11 02:00:00
PO000540,001,2025-02-04,V007,ERP-I00016,MFC_GANGNAM,72,58,2025-03-18,Open,14,2025-03-27 02:00:00
PO000562,001,2025-02-04,V007,ERP-I00016,FC_INCHEON,72,50,2025-03-18,Closed,22,2025-04-03 02:00:00
PO000586,001,2025-02-04,V007,ERP-I00017,FC_DONGTAN,192,118,2025-03-18,Partial,74,2025-04-05 02:00:00
PO000622,001,2025-02-04,V003,ERP-I00018,FC_DONGTAN,180,180,2025-02-12,Closed,0,2025-02-12 02:00:00
PO000635,001,2025-02-04,V003,ERP-I00018,FC_INCHEON,120,116,2025-02-12,Closed,4,2025-02-11 02:00:00
PO000647,001,2025-02-04,V003,ERP-I00019,MFC_GANGNAM,96,95,2025-02-12,Closed,1,2025-02-12 02:00:00
PO000671,001,2025-02-04,V003,ERP-I00019,FC_INCHEON,144,138,2025-02-12,Partial,6,2025-02-13 02:00:00
PO000697,001,2025-02-04,V003,ERP-I00020,FC_DONGTAN,144,136,2025-02-12,Closed,8,2025-02-11 02:00:00
PO000733,001,2025-02-04,V005,ERP-I00021,FC_DONGTAN,258,245,2025-02-10,Closed,13,2025-02-12 02:00:00
PO000745,001,2025-02-04,V005,ERP-I00021,FC_INCHEON,150,150,2025-02-10,Closed,0,2025-02-10 02:00:00
PO000771,001,2025-02-04,V004,ERP-I00022,FC_DONGTAN,192,168,2025-02-16,Closed,24,2025-02-18 02:00:00
PO000819,001,2025-02-04,V004,ERP-I00023,FC_INCHEON,168,149,2025-02-16,Closed,19,2025-02-22 02:00:00
PO000901,001,2025-02-04,V005,ERP-I00026,MFC_GANGNAM,108,104,2025-02-10,Closed,4,2025-02-09 02:00:00
PO000914,001,2025-02-04,V005,ERP-I00026,FC_DONGTAN,168,161,2025-02-10,Partial,7,2025-02-19 02:00:00
PO000974,001,2025-02-04,V004,ERP-I00028,MFC_GANGNAM,168,143,2025-02-16,Partial,25,2025-02-18 02:00:00
PO001023,001,2025-02-04,V005,ERP-I00029,FC_DONGTAN,114,108,2025-02-10,Closed,6,2025-02-12 02:00:00
PO001061,001,2025-02-04,V004,ERP-I00030,FC_DONGTAN,120,106,2025-02-16,Closed,14,2025-02-22 02:00:00
PO001074,001,2025-02-04,V004,ERP-I00030,FC_INCHEON,96,79,2025-02-16,Closed,17,2025-02-21 02:00:00
PO001087,001,2025-02-04,V005,ERP-I00031,MFC_GANGNAM,144,142,2025-02-10,Closed,2,2025-02-11 02:00:00
PO001178,001,2025-02-04,V009,ERP-I00033,FC_INCHEON,42,40,2025-02-28,Closed,2,2025-03-01 02:00:00
PO001198,001,2025-02-04,V008,ERP-I00034,FC_DONGTAN,192,172,2025-03-11,Closed,20,2025-03-10 02:00:00
PO001295,001,2025-02-04,V009,ERP-I00037,MFC_GANGNAM,60,59,2025-02-28,Closed,1,2025-03-13 02:00:00
PO001341,001,2025-02-04,V009,ERP-I00038,FC_DONGTAN,78,78,2025-02-28,Partial,0,2025-02-28 02:00:00
PO001426,001,2025-02-04,V005,ERP-I00040,FC_INCHEON,48,45,2025-02-10,Closed,3,2025-02-11 02:00:00
PO000015,001,2025-02-05,V006,ERP-I00001,FC_DONGTAN,144,120,2025-03-05,Partial,24,2025-03-12 02:00:00
PO000075,001,2025-02-05,V002,ERP-I00003,MFC_GANGNAM,156,137,2025-02-15,Closed,19,2025-02-27 02:00:00
PO000135,001,2025-02-05,V006,ERP-I00004,FC_INCHEON,204,191,2025-03-05,Partial,13,2025-03-03 02:00:00
PO000168,001,2025-02-05,V001,ERP-I00005,FC_INCHEON,246,238,2025-02-12,Closed,8,2025-02-13 02:00:00
PO000191,001,2025-02-05,V002,ERP-I00006,FC_DONGTAN,360,312,2025-02-15,Partial,48,2025-02-16 02:00:00
PO000214,001,2025-02-05,V001,ERP-I00007,MFC_GANGNAM,144,141,2025-02-12,Partial,3,2025-02-12 02:00:00
PO000250,001,2025-02-05,V001,ERP-I00008,MFC_GANGNAM,222,213,2025-02-12,Closed,9,2025-02-12 02:00:00
PO000274,001,2025-02-05,V001,ERP-I00008,FC_INCHEON,228,220,2025-02-12,Closed,8,2025-02-22 02:00:00
PO000324,001,2025-02-05,V002,ERP-I00010,MFC_GANGNAM,162,150,2025-02-15,Closed,12,2025-02-17 02:00:00
PO000375,001,2025-02-05,V003,ERP-I00011,FC_DONGTAN,72,68,2025-02-13,Closed,4,2025-02-15 02:00:00
PO000387,001,2025-02-05,V003,ERP-I00011,FC_INCHEON,60,58,2025-02-13,Closed,2,2025-02-19 02:00:00
PO000446,001,2025-02-05,V003,ERP-I00013,FC_DONGTAN,144,139,2025-02-13,Closed,5,2025-02-14 02:00:00
PO000472,001,2025-02-05,V007,ERP-I00014,MFC_GANGNAM,72,47,2025-03-19,Partial,25,2025-04-08 02:00:00
PO000484,001,2025-02-05,V007,ERP-I00014,FC_DONGTAN,72,56,2025-03-19,Partial,16,2025-04-06 02:00:00
PO000519,001,2025-02-05,V007,ERP-I00015,FC_DONGTAN,372,233,2025-03-19,Closed,139,2025-04-01 02:00:00
PO000530,001,2025-02-05,V007,ERP-I00015,FC_INCHEON,228,199,2025-03-19,Closed,29,2025-04-08 02:00:00
PO000609,001,2025-02-05,V003,ERP-I00018,MFC_GANGNAM,108,106,2025-02-13,Closed,2,2025-02-13 02:00:00
PO000721,001,2025-02-05,V005,ERP-I00021,MFC_GANGNAM,132,130,2025-02-11,Closed,2,2025-02-10 02:00:00
PO000830,001,2025-02-05,V004,ERP-I00024,MFC_GANGNAM,120,104,2025-02-17,Partial,16,2025-02-25 02:00:00
PO000842,001,2025-02-05,V004,ERP-I00024,FC_DONGTAN,198,184,2025-02-17,Partial,14,2025-02-21 02:00:00
PO000853,001,2025-02-05,V004,ERP-I00024,FC_INCHEON,120,94,2025-02-17,Partial,26,2025-02-19 02:00:00
PO000877,001,2025-02-05,V004,ERP-I00025,FC_DONGTAN,144,129,2025-02-17,Closed,15,2025-02-18 02:00:00
PO000927,001,2025-02-05,V005,ERP-I00026,FC_INCHEON,108,102,2025-02-11,Closed,6,2025-02-13 02:00:00
PO000939,001,2025-02-05,V004,ERP-I00027,MFC_GANGNAM,174,137,2025-02-17,Partial,37,2025-02-21 02:00:00
PO000951,001,2025-02-05,V004,ERP-I00027,FC_DONGTAN,258,246,2025-02-17,Partial,12,2025-02-18 02:00:00
PO000961,001,2025-02-05,V004,ERP-I00027,FC_INCHEON,186,152,2025-02-17,Closed,34,2025-02-23 02:00:00
